hospital_id,review_text,star_rating
H001,とても親切で丁寧な診療をしていただきました。先生の説明もわかりやすく安心できました。,5
H001,待ち時間は少し長かったですが、治療は良かったです。,4
H001,スタッフの対応が素晴らしく、ペットも安心していました。,5
H002,診療費が少し高いと感じましたが、技術は確かです。,3
H002,先生が優しく、ペットのことをよく理解してくれます。,4
H002,施設が清潔で設備も整っています。,4
H003,受付の対応があまり良くなかった。もう少し改善してほしい。,2
H003,診断が的確で、ペットがすぐに良くなりました。,5
H003,駐車場が狭くて不便でした。,2
H004,夜間対応もしていて助かります。緊急時に頼りになる病院です。,5
H004,予約制なので待ち時間が短くて良い。,4
H004,治療費の説明をもっと詳しくしてほしい。,3
H005,先生の腕は良いと思いますが、説明が不十分でした。,3
H005,看護師さんがとても親切で、ペットも懐いていました。,4
H005,建物が古くて少し不安になります。,2
